Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
IL12RB1,interleukin 12 receptor subunit beta 1,3594,19,1.539,1.955,3.04E-28,2.28E-25,,,,,,,,,,,
SLAMF8,SLAM family member 8,56833,1,1.722,2.093,3.63E-28,2.65E-25,,,,,,,,,,,
CD8A,CD8a molecule,925,2,1.881,3.395,4.82E-28,3.42E-25,,,,,,,,,,,
PTPN7,"protein tyrosine phosphatase, non-receptor type 7",5778,1,1.603,1.685,5.09E-28,3.52E-25,,,,,,,,,,,
KIR2DL4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4",3805,19,2.189,-2.081,5.29E-28,3.57E-25,,,,,,,,,,,
CCL5,C-C motif chemokine ligand 5,6352,17,1.823,2.794,5.95E-28,3.91E-25,,,,,,,,,,,
PLA2G2D,phospholipase A2 group IID,26279,1,3.134,-0.5593,6.10E-28,3.91E-25,,,,,,,,,,,
IL21R,interleukin 21 receptor,50615,16,1.736,1.199,6.33E-28,3.96E-25,,,,,,,,,,,
CXCL13,C-X-C motif chemokine ligand 13,10563,4,2.795,2.338,6.64E-28,4.06E-25,,,,,,,,,,,
GZMH,granzyme H,2999,14,1.992,-0.3387,7.09E-28,4.24E-25,,,,,,,,,,,
WARS,tryptophanyl-tRNA synthetase,7453,14,1.089,6.328,2.26E-27,1.32E-24,,,,,,,,,,,
CD3D,CD3d molecule,915,11,1.702,3.986,3.58E-27,2.04E-24,,,,,,,,,,,
PTPN22,"protein tyrosine phosphatase, non-receptor type 22",26191,1,1.506,3.783,4.43E-27,2.48E-24,,,,,,,,,,,
PYHIN1,pyrin and HIN domain family member 1,149628,1,1.806,1.839,5.86E-27,3.15E-24,,,,,,,,,,,
IL2RG,interleukin 2 receptor subunit gamma,3561,X,1.591,3.447,5.88E-27,3.15E-24,,,,,,,,,,,
PDCD1LG2,programmed cell death 1 ligand 2,80380,9,1.596,1.725,7.24E-27,3.75E-24,,,,,,,,,,,
LAX1,lymphocyte transmembrane adaptor 1,54900,1,2.046,2.075,7.27E-27,3.75E-24,,,,,,,,,,,
SLA2,Src-like-adaptor 2,84174,20,1.638,-0.1808,8.19E-27,4.14E-24,,,,,,,,,,,
SLAMF6,SLAM family member 6,114836,1,1.891,1.923,1.95E-26,9.67E-24,,,,,,,,,,,
LAMP3,lysosomal associated membrane protein 3,27074,3,1.445,3.461,2.01E-26,9.76E-24,,,,,,,,,,,
CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),1234,3,1.612,1.095,2.24E-26,1.07E-23,,,,,,,,,,,
LAG3,lymphocyte activating 3,3902,12,1.59,0.7976,2.29E-26,1.07E-23,,,,,,,,,,,
NA,NA,NA,NA,3.458,4.441,2.72E-26,1.25E-23,,,,,,,,,,,
ITK,IL2 inducible T-cell kinase,3702,5,1.83,3.612,3.12E-26,1.41E-23,,,,,,,,,,,
CST7,cystatin F,8530,20,1.648,0.8868,3.21E-26,1.43E-23,,,,,,,,,,,
IL12RB2,interleukin 12 receptor subunit beta 2,3595,1,2.05,3.051,5.14E-26,2.25E-23,,,,,,,,,,,
SH2D1A,SH2 domain containing 1A,4068,X,1.896,0.2811,6.02E-26,2.59E-23,,,,,,,,,,,
CCL4,C-C motif chemokine ligand 4,6351,17,1.727,3.583,7.19E-26,3.05E-23,,,,,,,,,,,
EPSTI1,epithelial stromal interaction 1 (breast),94240,13,1.446,5.068,7.52E-26,3.14E-23,,,,,,,,,,,
P2RY10,purinergic receptor P2Y10,27334,X,1.945,1.246,7.72E-26,3.17E-23,,,,,,,,,,,
GBP4,guanylate binding protein 4,115361,1,1.235,5.565,8.92E-26,3.61E-23,,,,,,,,,,,
ITGAL,integrin subunit alpha L,3683,16,1.527,4.464,9.66E-26,3.85E-23,,,,,,,,,,,
IRF1,interferon regulatory factor 1,3659,5,0.9684,5.107,1.08E-25,4.22E-23,,,,,,,,,,,
THEMIS,thymocyte selection associated,387357,6,1.808,1.169,1.09E-25,4.22E-23,,,,,,,,,,,
JAKMIP1,janus kinase and microtubule interacting protein 1,152789,4,1.767,0.03313,1.11E-25,4.24E-23,,,,,,,,,,,
FASLG,Fas ligand,356,1,1.833,-0.8467,1.28E-25,4.79E-23,,,,,,,,,,,
UBD,ubiquitin D,10537,6,2.362,3.729,2.05E-25,7.58E-23,,,,,,,,,,,
GPR174,G protein-coupled receptor 174,84636,X,1.912,0.8939,2.35E-25,8.58E-23,,,,,,,,,,,
GNLY,granulysin,10578,2,1.888,0.7799,2.42E-25,8.69E-23,,,,,,,,,,,
GFI1,growth factor independent 1 transcription repressor,2672,1,1.519,0.5362,2.53E-25,8.97E-23,,,,,,,,,,,
UBE2L6,ubiquitin conjugating enzyme E2L 6,9246,11,0.9496,4.262,2.85E-25,9.98E-23,,,,,,,,,,,
NLRC5,"NLR family, CARD domain containing 5",84166,16,1.202,6.368,2.90E-25,1.00E-22,,,,,,,,,,,
CXCR3,chemokine (C-X-C motif) receptor 3,2833,X,1.818,-2.465,4.79E-25,1.63E-22,,,,,,,,,,,
PTPRC,"protein tyrosine phosphatase, receptor type C",5788,1,1.481,7.952,6.66E-25,2.24E-22,,,,,,,,,,,
FCRL5,Fc receptor like 5,83416,1,2.847,2.163,1.11E-24,3.69E-22,,,,,,,,,,,
RUNX3,runt related transcription factor 3,864,1,1.474,0.889,1.22E-24,4.02E-22,,,,,,,,,,,
MZB1,marginal zone B and B1 cell specific protein,51237,5,2.622,0.7119,1.38E-24,4.49E-22,,,,,,,,,,,
ZC3H12D,zinc finger CCCH-type containing 12D,340152,6,1.591,-0.7914,1.76E-24,5.65E-22,,,,,,,,,,,
SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",64092,21,1.392,4.112,1.94E-24,6.14E-22,,,,,,,,,,,
IRF4,interferon regulatory factor 4,3662,6,1.988,2.076,2.63E-24,8.23E-22,,,,,,,,,,,
IGLL5,immunoglobulin lambda like polypeptide 5,100423062,22,2.856,8.735,3.21E-24,9.92E-22,,,,,,,,,,,
ITGAE,integrin subunit alpha E,3682,17,0.9213,2.97,4.52E-24,1.38E-21,,,,,,,,,,,
SLFN12L,schlafen family member 12-like,100506736,17,1.469,2.202,4.81E-24,1.45E-21,,,,,,,,,,,
PLEK,pleckstrin,5341,2,1.439,4.059,6.84E-24,2.04E-21,,,,,,,,,,,
CCR4,chemokine (C-C motif) receptor 4,1233,3,1.808,1.431,7.75E-24,2.29E-21,,,,,,,,,,,
CRTAM,cytotoxic and regulatory T-cell molecule,56253,11,1.614,-0.7326,8.12E-24,2.37E-21,,,,,,,,,,,
CXCR2P1,chemokine (C-X-C motif) receptor 2 pseudogene 1,3580,2,2.237,-2.199,8.63E-24,2.49E-21,,,,,,,,,,,
FYB,FYN binding protein,2533,5,1.45,6.112,9.07E-24,2.59E-21,,,,,,,,,,,
LAP3,leucine aminopeptidase 3,51056,4,0.6737,6.389,9.69E-24,2.74E-21,,,,,,,,,,,
CCL18,C-C motif chemokine ligand 18,6362,17,2.169,1.662,1.30E-23,3.63E-21,,,,,,,,,,,
FAM26F,family with sequence similarity 26 member F,441168,6,1.309,1.596,1.49E-23,4.13E-21,,,,,,,,,,,
IKZF1,IKAROS family zinc finger 1,10320,7,1.465,2.631,1.51E-23,4.13E-21,,,,,,,,,,,
GPR171,G protein-coupled receptor 171,29909,3,1.834,1.268,1.55E-23,4.21E-21,,,,,,,,,,,
TNFSF13B,tumor necrosis factor superfamily member 13b,10673,13,1.334,1.903,2.53E-23,6.78E-21,,,,,,,,,,,
UBASH3A,ubiquitin associated and SH3 domain containing A,53347,21,1.667,0.4699,3.04E-23,8.04E-21,,,,,,,,,,,
RHOH,ras homolog family member H,399,4,1.621,-0.0359,3.06E-23,8.04E-21,,,,,,,,,,,
GZMK,granzyme K,3003,5,2.011,1.026,3.13E-23,8.14E-21,,,,,,,,,,,
BTLA,B and T lymphocyte associated,151888,3,1.837,-0.5936,4.09E-23,1.05E-20,,,,,,,,,,,
IFI30,"interferon, gamma-inducible protein 30",10437,19,1.279,5.998,5.07E-23,1.29E-20,,,,,,,,,,,
ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",9744,17,1.56,2.668,5.66E-23,1.43E-20,,,,,,,,,,,
ADAMDEC1,"ADAM-like, decysin 1",27299,8,2.03,2.567,5.87E-23,1.47E-20,,,,,,,,,,,
IL4I1,interleukin 4 induced 1,259307,19,1.641,1.958,6.34E-23,1.57E-20,,,,,,,,,,,
ZNF831,zinc finger protein 831,128611,20,1.844,0.8431,6.70E-23,1.65E-20,,,,,,,,,,,
FCRL3,Fc receptor like 3,115352,1,2.245,1.086,7.77E-23,1.89E-20,,,,,,,,,,,
TLR8,toll like receptor 8,51311,X,1.54,1.665,1.05E-22,2.52E-20,,,,,,,,,,,
JCHAIN,joining chain of multimeric IgA and IgM,3512,4,2.47,6.009,1.19E-22,2.84E-20,,,,,,,,,,,
EOMES,eomesodermin,8320,3,1.777,0.3984,1.36E-22,3.22E-20,,,,,,,,,,,
SP140,SP140 nuclear body protein,11262,2,1.554,4.098,1.42E-22,3.34E-20,,,,,,,,,,,
TRAT1,T cell receptor associated transmembrane adaptor 1,50852,3,1.803,0.3888,1.65E-22,3.84E-20,,,,,,,,,,,
IL21,interleukin 21,59067,4,1.63,-4.528,1.78E-22,4.10E-20,,,,,,,,,,,
CYTIP,cytohesin 1 interacting protein,9595,2,1.503,3.288,1.91E-22,4.37E-20,,,,,,,,,,,
CD6,CD6 molecule,923,11,1.479,2.125,2.24E-22,5.07E-20,,,,,,,,,,,
LCP2,lymphocyte cytosolic protein 2,3937,5,1.153,5.166,2.68E-22,6.02E-20,,,,,,,,,,,
CD5,CD5 molecule,921,11,1.645,1.131,3.13E-22,6.97E-20,,,,,,,,,,,
TYMP,thymidine phosphorylase,1890,22,1.383,5.036,3.25E-22,7.17E-20,,,,,,,,,,,
LYZ,lysozyme,4069,12,1.597,7.541,4.36E-22,9.55E-20,,,,,,,,,,,
NA,NA,NA,NA,2.94,0.02639,4.65E-22,1.01E-19,,,,,,,,,,,
CD226,CD226 molecule,10666,18,1.303,1.504,5.32E-22,1.15E-19,,,,,,,,,,,
CD53,CD53 molecule,963,1,1.332,4.989,5.98E-22,1.28E-19,,,,,,,,,,,
CD247,CD247 molecule,919,1,1.415,1.997,6.45E-22,1.37E-19,,,,,,,,,,,
NCR1,natural cytotoxicity triggering receptor 1,9437,19,1.606,-1.084,6.71E-22,1.41E-19,,,,,,,,,,,
CD48,CD48 molecule,962,1,1.54,2.919,7.13E-22,1.49E-19,,,,,,,,,,,
SLAMF7,SLAM family member 7,57823,1,1.471,3.553,7.67E-22,1.59E-19,,,,,,,,,,,
SEPT1,septin 1,1731,16,1.506,1.487,9.80E-22,2.01E-19,,,,,,,,,,,
IL2RA,interleukin 2 receptor subunit alpha,3559,10,1.422,3.238,1.24E-21,2.52E-19,,,,,,,,,,,
LILRB4,leukocyte immunoglobulin like receptor B4,11006,19,1.546,3.739,1.52E-21,3.08E-19,,,,,,,,,,,
IL10RA,interleukin 10 receptor subunit alpha,3587,11,1.284,6.226,1.64E-21,3.29E-19,,,,,,,,,,,
PARP9,poly(ADP-ribose) polymerase family member 9,83666,3,0.7408,6.771,1.71E-21,3.39E-19,,,,,,,,,,,
ZAP70,zeta chain of T cell receptor associated protein kinase 70kDa,7535,2,1.44,1.981,1.97E-21,3.88E-19,,,,,,,,,,,
SIGLEC10,sialic acid binding Ig like lectin 10,89790,19,1.355,2.931,2.03E-21,3.97E-19,,,,,,,,,,,
TAGAP,T-cell activation RhoGTPase activating protein,117289,6,1.329,3.005,3.49E-21,6.80E-19,,,,,,,,,,,
PIM2,"Pim-2 proto-oncogene, serine/threonine kinase",11040,X,1.335,2.477,3.93E-21,7.55E-19,,,,,,,,,,,
HCST,hematopoietic cell signal transducer,10870,19,1.333,0.9561,3.93E-21,7.55E-19,,,,,,,,,,,
TBX21,T-box 21,30009,17,1.55,-1.456,3.98E-21,7.58E-19,,,,,,,,,,,
C1QB,"complement component 1, q subcomponent, B chain",713,1,1.36,5.885,4.24E-21,8.02E-19,,,,,,,,,,,
TAP1,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",6890,6,1.196,7.936,4.36E-21,8.19E-19,,,,,,,,,,,
TFEC,transcription factor EC,22797,7,1.318,2.412,4.40E-21,8.21E-19,,,,,,,,,,,
SASH3,SAM and SH3 domain containing 3,54440,X,1.304,2.14,5.37E-21,9.94E-19,,,,,,,,,,,
NA,NA,NA,NA,2.987,3.603,6.10E-21,1.12E-18,,,,,,,,,,,
TRAF3IP3,TRAF3 interacting protein 3,80342,1,1.396,2.629,6.18E-21,1.13E-18,,,,,,,,,,,
BCL2A1,BCL2 related protein A1,597,15,1.737,2.038,6.83E-21,1.24E-18,,,,,,,,,,,
SLA,Src-like-adaptor,6503,8,1.341,3.083,8.02E-21,1.44E-18,,,,,,,,,,,
KLRD1,killer cell lectin like receptor D1,3824,12,1.425,0.5417,8.19E-21,1.46E-18,,,,,,,,,,,
MYO1G,myosin IG,64005,7,1.274,3.134,8.24E-21,1.46E-18,,,,,,,,,,,
KLRK1,killer cell lectin like receptor K1,22914,12,1.753,-1.84,8.81E-21,1.55E-18,,,,,,,,,,,
MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,11184,19,1.26,3.156,8.95E-21,1.57E-18,,,,,,,,,,,
HLA-DRA,"major histocompatibility complex, class II, DR alpha",3122,6,1.303,8.539,1.16E-20,2.02E-18,,,,,,,,,,,
IL18RAP,interleukin 18 receptor accessory protein,8807,2,1.422,0.4517,1.22E-20,2.11E-18,,,,,,,,,,,
SAMHD1,SAM domain and HD domain 1,25939,20,0.8672,8.123,1.73E-20,2.97E-18,,,,,,,,,,,
CYBB,"cytochrome b-245, beta polypeptide",1536,X,1.269,7.036,1.75E-20,2.98E-18,,,,,,,,,,,
MCOLN2,mucolipin 2,255231,1,1.274,1.598,2.19E-20,3.71E-18,,,,,,,,,,,
ANKRD36BP2,ankyrin repeat domain 36B pseudogene 2,645784,2,2.16,3.146,2.21E-20,3.72E-18,,,,,,,,,,,
BIRC3,baculoviral IAP repeat containing 3,330,11,1.403,5.263,2.38E-20,3.98E-18,,,,,,,,,,,
RGS1,regulator of G-protein signaling 1,5996,1,1.87,4.498,2.93E-20,4.88E-18,,,,,,,,,,,
HAVCR2,hepatitis A virus cellular receptor 2,84868,5,1.206,2.578,2.95E-20,4.88E-18,,,,,,,,,,,
ABCD2,ATP binding cassette subfamily D member 2,225,12,1.483,0.7233,3.07E-20,5.04E-18,,,,,,,,,,,
FGL2,fibrinogen like 2,10875,7,1.192,4.402,3.24E-20,5.29E-18,,,,,,,,,,,
KLRC2,killer cell lectin like receptor C2,3822,12,1.69,-0.2624,3.37E-20,5.46E-18,,,,,,,,,,,
RASGRP1,RAS guanyl releasing protein 1,10125,15,1.362,3.331,4.13E-20,6.66E-18,,,,,,,,,,,
NA,NA,NA,NA,1.739,-3.441,4.62E-20,7.40E-18,,,,,,,,,,,
WAS,Wiskott-Aldrich syndrome,7454,X,1.126,3.749,4.69E-20,7.48E-18,,,,,,,,,,,
DOCK2,dedicator of cytokinesis 2,1794,5,1.203,6.198,5.29E-20,8.37E-18,,,,,,,,,,,
HEATR9,HEAT repeat containing 9,256957,17,1.777,-2.258,6.01E-20,9.46E-18,,,,,,,,,,,
SCML4,sex comb on midleg-like 4 (Drosophila),256380,6,1.638,-0.74,6.06E-20,9.48E-18,,,,,,,,,,,
KLRC1,killer cell lectin like receptor C1,3821,12,1.545,-0.3135,7.06E-20,1.10E-17,,,,,,,,,,,
LTA,lymphotoxin alpha,4049,6,1.46,-1.977,7.52E-20,1.16E-17,,,,,,,,,,,
NA,NA,NA,NA,1.595,-3.529,8.43E-20,1.30E-17,,,,,,,,,,,
IFIH1,"interferon induced, with helicase C domain 1",64135,2,0.8713,5.117,8.69E-20,1.33E-17,,,,,,,,,,,
ARHGAP9,Rho GTPase activating protein 9,64333,12,1.261,3.202,9.09E-20,1.38E-17,,,,,,,,,,,
NLRC3,"NLR family, CARD domain containing 3",197358,16,1.36,1.751,1.19E-19,1.79E-17,,,,,,,,,,,
C1QA,"complement component 1, q subcomponent, A chain",712,1,1.288,5.952,1.28E-19,1.91E-17,,,,,,,,,,,
IL7R,interleukin 7 receptor,3575,5,1.592,5.081,1.31E-19,1.95E-17,,,,,,,,,,,
BIN2,bridging integrator 2,51411,12,1.186,4.001,1.40E-19,2.06E-17,,,,,,,,,,,
KIAA0125,KIAA0125,9834,14,2.293,-0.7,1.40E-19,2.06E-17,,,,,,,,,,,
AIF1,allograft inflammatory factor 1,199,6,1.137,3.599,1.51E-19,2.21E-17,,,,,,,,,,,
DENND1C,DENN domain containing 1C,79958,19,1.282,1.353,1.51E-19,2.21E-17,,,,,,,,,,,
LCK,"LCK proto-oncogene, Src family tyrosine kinase",3932,1,1.195,2.391,1.79E-19,2.60E-17,,,,,,,,,,,
CD52,CD52 molecule,1043,1,1.432,2.508,1.86E-19,2.68E-17,,,,,,,,,,,
DOK2,docking protein 2,9046,8,1.213,1.08,2.04E-19,2.92E-17,,,,,,,,,,,
HLA-DMB,"major histocompatibility complex, class II, DM beta",3109,6,1.218,2.777,2.12E-19,3.03E-17,,,,,,,,,,,
SAMD3,sterile alpha motif domain containing 3,154075,6,1.434,0.7931,2.19E-19,3.11E-17,,,,,,,,,,,
EVI2B,ecotropic viral integration site 2B,2124,17,1.335,4.896,2.27E-19,3.20E-17,,,,,,,,,,,
TBC1D10C,TBC1 domain family member 10C,374403,11,1.455,0.03797,2.85E-19,4.00E-17,,,,,,,,,,,
FUT7,"fucosyltransferase 7 (alpha (1,3) fucosyltransferase)",2529,9,1.467,-0.4901,3.12E-19,4.36E-17,,,,,,,,,,,
AOAH,acyloxyacyl hydrolase,313,7,1.291,4.351,3.53E-19,4.91E-17,,,,,,,,,,,
LILRB1,leukocyte immunoglobulin like receptor B1,10859,19,1.265,2.942,3.87E-19,5.35E-17,,,,,,,,,,,
HLA-F,"major histocompatibility complex, class I, F",3134,6,1.12,6.431,3.95E-19,5.43E-17,,,,,,,,,,,
HLA-B,"major histocompatibility complex, class I, B",3106,6,0.978,9.461,4.10E-19,5.61E-17,,,,,,,,,,,
LY9,lymphocyte antigen 9,4063,1,1.612,1.257,4.72E-19,6.42E-17,,,,,,,,,,,
IGSF6,immunoglobulin superfamily member 6,10261,16,1.13,2.853,4.84E-19,6.55E-17,,,,,,,,,,,
C1QC,"complement component 1, q subcomponent, C chain",714,1,1.208,5.359,5.32E-19,7.17E-17,,,,,,,,,,,
NA,NA,NA,NA,3.14,0.8204,5.54E-19,7.43E-17,,,,,,,,,,,
SIT1,signaling threshold regulating transmembrane adaptor 1,27240,9,1.521,-1.918,7.89E-19,1.05E-16,,,,,,,,,,,
TOX,thymocyte selection associated high mobility group box,9760,8,1.419,2.098,7.91E-19,1.05E-16,,,,,,,,,,,
ITGB2,integrin subunit beta 2,3689,21,1.245,6.058,8.57E-19,1.13E-16,,,,,,,,,,,
KLRC3,killer cell lectin like receptor C3,3823,12,1.608,-0.8276,9.40E-19,1.23E-16,,,,,,,,,,,
CR1L,complement component 3b/4b receptor 1-like,1379,1,1.711,-0.7185,9.45E-19,1.24E-16,,,,,,,,,,,
SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",9806,10,1.224,2.398,9.69E-19,1.26E-16,,,,,,,,,,,
SAMD9L,sterile alpha motif domain containing 9-like,219285,7,1.053,5.435,1.04E-18,1.35E-16,,,,,,,,,,,
CD84,CD84 molecule,8832,1,1.218,3,1.09E-18,1.40E-16,,,,,,,,,,,
TNFRSF17,tumor necrosis factor receptor superfamily member 17,608,16,2.159,-1.356,1.29E-18,1.66E-16,,,,,,,,,,,
NCF1,neutrophil cytosolic factor 1,653361,7,1.406,1.206,1.45E-18,1.84E-16,,,,,,,,,,,
SPI1,Spi-1 proto-oncogene,6688,11,1.135,3.227,1.45E-18,1.84E-16,,,,,,,,,,,
GZMM,granzyme M,3004,19,1.458,-2.668,1.46E-18,1.84E-16,,,,,,,,,,,
B2M,beta-2-microglobulin,567,15,0.7525,10.97,1.56E-18,1.96E-16,,,,,,,,,,,
KLRC4,killer cell lectin like receptor C4,8302,12,1.538,0.2325,1.69E-18,2.12E-16,,,,,,,,,,,
CARD17,caspase recruitment domain family member 17,440068,11,1.825,-2.975,1.72E-18,2.14E-16,,,,,,,,,,,
NCKAP1L,NCK associated protein 1 like,3071,12,1.161,6.043,1.76E-18,2.18E-16,,,,,,,,,,,
CSF2RB,colony stimulating factor 2 receptor beta common subunit,1439,22,1.207,4.71,2.03E-18,2.50E-16,,,,,,,,,,,
FPR3,formyl peptide receptor 3,2359,19,1.248,3.1,2.14E-18,2.62E-16,,,,,,,,,,,
GPR132,G protein-coupled receptor 132,29933,14,1.25,0.6453,2.62E-18,3.21E-16,,,,,,,,,,,
HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",3115,6,1.165,5.742,2.73E-18,3.32E-16,,,,,,,,,,,
SNX20,sorting nexin 20,124460,16,1.35,-1.267,2.95E-18,3.56E-16,,,,,,,,,,,
GPR183,G protein-coupled receptor 183,1880,13,1.528,3.427,2.96E-18,3.56E-16,,,,,,,,,,,
APOL6,apolipoprotein L6,80830,22,0.7159,5.526,3.16E-18,3.80E-16,,,,,,,,,,,
CD74,CD74 molecule,972,5,1.138,8.23,3.33E-18,3.98E-16,,,,,,,,,,,
TSHR,thyroid stimulating hormone receptor,7253,14,1.825,-0.3837,3.71E-18,4.41E-16,,,,,,,,,,,
CXorf21,chromosome X open reading frame 21,80231,X,1.227,-0.3946,3.73E-18,4.42E-16,,,,,,,,,,,
BATF2,basic leucine zipper ATF-like transcription factor 2,116071,11,1.316,-0.5802,3.89E-18,4.59E-16,,,,,,,,,,,
FMNL1,formin like 1,752,17,1.02,4.89,3.92E-18,4.59E-16,,,,,,,,,,,
FCER1G,Fc fragment of IgE receptor Ig,2207,1,1.166,3.859,4.29E-18,5.01E-16,,,,,,,,,,,
CLEC4E,C-type lectin domain family 4 member E,26253,12,1.667,0.037,4.38E-18,5.09E-16,,,,,,,,,,,
IL32,interleukin 32,9235,16,1.316,3.825,4.43E-18,5.13E-16,,,,,,,,,,,
CCR2,chemokine (C-C motif) receptor 2,729230,3,1.508,1.676,4.47E-18,5.15E-16,,,,,,,,,,,
GVINP1,"GTPase, very large interferon inducible pseudogene 1",387751,11,1.106,3.819,4.61E-18,5.29E-16,,,,,,,,,,,
KIR3DX1,"killer cell immunoglobulin like receptor, three Ig domains X1",90011,19,1.57,-4.052,4.67E-18,5.34E-16,,,,,,,,,,,
LILRB2,leukocyte immunoglobulin like receptor B2,10288,19,1.211,3.589,5.27E-18,5.99E-16,,,,,,,,,,,
CD86,CD86 molecule,942,3,1.046,2.997,5.69E-18,6.44E-16,,,,,,,,,,,
STX11,syntaxin 11,8676,6,0.9573,1.476,5.80E-18,6.54E-16,,,,,,,,,,,
CLEC7A,C-type lectin domain family 7 member A,64581,12,1.213,2.998,7.32E-18,8.22E-16,,,,,,,,,,,
ISG20,interferon stimulated exonuclease gene 20kDa,3669,15,1.053,2.201,7.35E-18,8.22E-16,,,,,,,,,,,
SRGN,serglycin,5552,10,1.215,5.904,8.82E-18,9.82E-16,,,,,,,,,,,
LAIR2,leukocyte associated immunoglobulin like receptor 2,3904,19,1.542,-3.18,9.60E-18,1.07E-15,,,,,,,,,,,
TNFRSF18,tumor necrosis factor receptor superfamily member 18,8784,1,1.491,-1.244,1.06E-17,1.17E-15,,,,,,,,,,,
IL12B,interleukin 12B,3593,5,1.767,-3.197,1.07E-17,1.18E-15,,,,,,,,,,,
STAT4,signal transducer and activator of transcription 4,6775,2,1.091,2.964,1.24E-17,1.36E-15,,,,,,,,,,,
